appln_auth;appln_filing_year;
"DK";1967;3305
"US";1939;44222
"BG";1989;1360
"VN";1999;1
"SU";1911;6
"SU";1917;68
"AM";2004;10
"VN";2005;9
"NE";1984;1
"DK";1961;2981
"BG";1995;1138
"FI";1987;5973
"OA";1959;4
"EG";2016;1
"NZ";1964;30
"IT";2000;9981
"ME";1999;18
"LB";2007;1
"MC";9999;41
"MD";1989;1
"RU";1987;2
"ME";2005;18
"RU";1990;36
"NO";1927;108
"TT";2002;4
"MX";1955;22
"FI";1984;5280
"IT";2006;11761
"US";1945;42059
"GR";1923;133
"CZ";1965;33
"CZ";1959;1
"PH";1996;28
"JP";2006;434462
"EG";2013;84
"SI";9999;18
"DK";1964;3243
"DK";1970;2914
"VN";2002;8
"MX";1961;36
"ZA";1933;16
"NZ";1967;34
"SU";1914;25
"BG";1992;921
"LB";2010;3
"ME";2002;79
"ZM";2012;1
"CA";1890;1
"IT";1997;9668
"ES";1919;102
"NO";1930;164
"NZ";1961;24
"ZM";2009;1
"IT";2003;10221
"TT";2005;2
"MX";1958;101
"GR";1926;309
"US";1948;41274
"US";1942;33140
"CZ";1962;9
"CG";1968;1
"IS";1978;45
"FR";1941;19030
"HU";1984;3800
"KE";2009;8
"MY";1980;282
"MX";1964;31
"NZ";1970;65
"AU";1900;4
"GR";1920;11
"TH";2006;12
"IS";1984;78
"ES";1925;84
"ZA";1936;18
"PH";2005;44
"PH";1999;21
"LB";2013;1
"ZA";1939;14
"IS";1987;101
"ES";1922;54
"PT";1974;12
"PT";1968;18
"FR";1947;28982
"MY";1974;332
"CL";2015;1202
"FI";1978;3452
"GB";1965;38531
"AR";1965;15
"AR";1971;1096
"HU";1987;4051
"KE";2003;5
"TN";1904;3
"PL";1947;11
"TH";2009;38
"AU";1903;1
"PH";2002;27
"MY";1977;328
"AU";1897;4
"BG";1998;1267
"ES";1928;160
"IS";1981;83
"ZA";1942;16
"ME";2008;6
"RU";1993;18418
"IN";1971;41
"GB";1962;34540
"TH";2003;27
"FI";1981;3709
"MY";1971;223
"PT";1971;37
"FR";1944;18240
"GB";1968;47378
"FR";1938;24787
"KE";2006;3
"AR";1968;60
"IN";1962;14
"DE";1950;38750
"BI";2006;1
"ZW";2002;1
"NL";1957;2259
"EA";1999;962
"LU";2001;128
"IN";1968;43
"RO";1962;28
"MN";1975;10
"SE";1985;6664
"EA";2005;2485
"PL";1956;16
"IE";1973;1656
"KZ";2012;62
"CU";2016;10
"NL";1960;2343
"CH";1963;13790
"KR";1994;24424
"YU";1972;891
"HU";1981;2588
"AP";2003;275
"CU";2010;215
"BR";1917;2
"CH";1969;17411
"CA";2006;44861
"YU";1966;124
"HN";1992;2
"BI";2009;1
"DE";1947;93
"NL";1954;2444
"LT";2014;157
"LU";1998;116
"BR";1923;4
"DE";1953;30748
"MN";1978;20
"PT";1977;1465
"EA";2002;1257
"IN";1965;14
"LU";2004;59
"SE";1988;5050
"RO";1959;15
"RO";1956;18
"CU";2013;175
"MN";1972;11
"UA";1932;1
"YU";1963;22
"PL";1953;4
"HU";1978;2076
"BR";1920;6
"AP";2000;304
"CH";1966;16267
"KR";1991;17233
"KZ";2015;24
"CA";2003;42834
"CH";1972;16379
"KR";1997;46883
"YU";1969;1112
"KG";2014;1
"BE";1957;1143
"AT";1954;6618
"DD";1966;507
"HN";1983;1
"EE";1929;1
"AP";2009;465
"NO";9999;7856
"BE";1963;2419
"NO";1924;158
"LK";2012;3
"IE";1967;950
"CA";2012;37635
"AM";1998;4
"SE";1994;5773
"DD";1972;7187
"DO";2013;238
"AU";2016;3345
"AT";1951;5985
"CY";1940;1
"JP";2003;431797
"BE";1954;1120
"MA";2012;980
"KR";2000;94111
"AT";1957;7341
"CY";1946;1
"GT";1961;1
"AP";2006;443
"BE";1960;10581
"DD";1969;1441
"EE";1926;2
"IE";1964;815
"IE";1970;1097
"NO";1921;120
"DD";1975;6760
"SE";1991;4708
"AM";2001;23
"DE";1956;32932
"JP";2000;445303
"CA";2009;37352
"AM";1995;4
"MA";2015;255
"DO";2016;55
"BG";1966;39
"TR";1950;1
"CR";2015;552
"BD";2002;1
"BG";1960;2
"US";1968;117761
"CU";1923;3
"CS";1973;6351
"CR";2009;505
"AR";1942;12
"CL";1986;1
"ZM";1983;65
"MX";1929;11
"BR";2007;22219
"AR";1936;10
"NO";1953;237
"BD";2008;5
"SM";2002;20
"NZ";1990;3150
"FI";2013;2493
"ST";9999;2
"BR";2013;6943
